IDMarketer,IDMarketer1,IDMarketerCategory,CompanyName,AccountableSurName,AccountableName,Country,Part,City,Section,Address,Telefon1,Telefon2,Telefon3,Fax,e-mail,Text1,Text2,Text3,No1,No2,No3,No4,Date1,Date2,Memo1,YesNo1,YesNo2
847,109,1,"ΤΑΣΟΣ ΠΡΙΣΚΟΜΑΤΗΣ Α.Ε",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"1ο χλμ.ΕΟ ΚΑΤΕΡΙΝΗΣ ΓΑΝΟΧΩΡΑΣ","22366",,,"45895",,,,,,,,,,,,0,0
849,110,1,"Α. ΑΒΕΡΗΣ Ε.Π.Ε",,,"ΕΛΛΑΔΑ","ΘΕΣ/ΚΗΣ","57006 ΒΑΣΙΛΙΚΑ",,"23ο χλμ. ΘΕΣ/ΝΙΚΗΣ ΠΟΛΥΓΥΡΟΥ","23960-22950","6977414490",,"22950",,,,,,,,,,,,0,0
850,111,1,"ΠΑΣΧΑΛΙΔΗΣ",,,"ΕΛΛΑΔΑ",,,,,,,,,,,,,,,,,,,,0,0
851,112,1,"ΧΑΤΖΗΚΟΣΜΑΣ",,,"ΕΛΛΑΔΑ",,,,,,,,,,,,,,,,,,,,0,0
852,113,1,"ΓΡΑΜΜΕΝΟΣ Ι. Κ& ΣΙΑ ΟΕ","ΣΙΔΗΡΟΠΟΥΛΟΣ ΓΙΑΝΝΗΣ",,"ΕΛΛΑΔΑ",,,,,"6947270937",,,,,,,,,,,,,,,0,0
853,114,1,"ΙΩΝΙΚΗ ΣΦΟΛΙΑΤΑ",,,"ΕΛΛΑΔΑ","ΘΕΣ/ΚΗΣ",,"ΝΕΟΧΩΡΟΥΔΑΣ","1ο χλμ ΝΕΩΧ.ΩΡΑΙΟΚΑΣΤΡΟΥ","788120","788371","778255","ioniki@hol.gr",,,,,,,,,,,,0,0
854,115,1,"ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ  Α.Ε",,,"ΕΛΛΑΔΑ","ΠΙΡΙΑΣ","ΚΑΤΕΡΙΝΗ","ΕΘΝ.ΟΔΟΣ",,"36767","73072","37748",,,,,,,,,,,,,0,0
855,116,1,"ΚΑΡΑΚΟΥΣΗΣ ΔΗΜΗΤΡΙΟΣ",,,"ΕΛΛΑΔΑ",,"ΝΕΑ ΕΦΕΣΣΟΣ","ΠΙΕΡΙΑΣ","Ν.ΕΦΕΣΣΟΣ","23510-52052",,,"52052",,,,,,,,,,,,0,0
856,117,1,"ΠΛΑΖΑ",,,"ΕΛΛΑΔΑ","ΘΕΣ/ΚΗΣ",,"ΣΙΝΔΟΣ","Ο.Τ.40Β ΦΑΣΗ ΒΙ.ΠΕ. ΘΕΣ/ΝΙΚΗΣ","795266",,"571070","571075",,,,,,,,,,,,0,0
857,118,1,"ΣΠΙΤΙΚΟ",,,"ΕΛΛΑΔΑ",,,,,,,,,,,,,,,,,,,,0,0
858,119,1,"ΧΟΥΛΙΑΡΑΣ",,,"ΕΛΛΑΔΑ","ΘΕΣ/ΚΗΣ","ΘΕΣ/ΚΗ","ΣΤΑΥΡΟΥΠΟΛΗ","ΨΑΡΩΝ 29","669338",,,,,,,,,,,,,,,0,0
859,120,1,"ΜΠΕΙΚΜΑΡΚ",,,"ΕΛΛΑΔΑ",,,,,,,,,,,,,,,,,,,,0,0
860,121,1,"ΙΡΕΚΣ",,,"ΕΛΛΑΔΑ",,,,,,,,,,,,,,,,,,,,0,0
861,122,1,"ΔΕΛΤΑ",,,"ΕΛΛΑΔΑ",,,,,,,,,,,,,,,,,,,,0,0
862,123,1,"ΠΟΥΡΑΤΟΣ",,,"ΕΛΛΑΔΑ",,,,,,,,,,,,,,,,,,,,0,0
863,124,1,"ΦΙΛΚΑ",,"Ε.Ι ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ & ΣΙΑ.Ο,Ε","ΕΛΛΑΔΑ","ΘΕΣ/ΚΗΣ","ΘΕΣ/ΚΗ",,"ΓΙΑΝΝΙΤΣΩΝ 50","531401",,"540051",,,,,,,,,,,,,0,0
864,125,1,"ΑΦΟΙ ΜΠΑΡΔΑΚΗ Ο.Ε",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,,"36598","27959",,,,,,,,,,,,,,0,0
865,126,1,"ΓΑΒΑΝΑΣ ΦΙΛΙΠΠΟΣ",,,"ΕΛΛΑΔΑ","ΧΑΛΚΙΔΙΚΗΣ","ΓΑΛΑΤΙΣΤΑ",,,"2371-0-31888",,,,,,,,,,,,,,,0,0
866,127,1,"ΛΥΜΠΕΡΗΣ ΚΥΡΙΑΚΟΣ Κ ΣΙΑ Ο.Ε",,,"ΕΛΛΑΔΑ","ΧΑΛΚΙΔΙΚΗΣ",,"ΛΑΚΚΩΜΑ",,"23990-51020","51024","51074","51013",,,,,,,,,,,,0,0
867,128,1,"ΣΕΡΡΑΙΚΗ ΜΠΟΥΓΑΤΣΑ Ο.Ε",,,"ΕΛΛΑΔΑ","ΣΕΡΡΩΝ","ΣΕΡΡΕΣ",,"2o χλμ. ΣΕΡΡΩΝ ΝΙΓΡΙΤΑΣ","23210","46042","46220",,,,,,,,,,,,,0,0
868,129,1,"ΠΑΠΑΝΑΚΟΣ ΠΕΤΡΟΣ Κ.ΣΙΑ Ο.Ε",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"ΥΨΗΛΑΝΤΟΥ 37","28475",,,"28475",,,,,,,,,,,,0,0
869,130,1,"ΣΑΜΛΙΔΟΥ ΕΛΕΝΗ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"ΑΓ.ΑΙΚΑΤΕΡΙΝΗΣ  47","30792","33586 ΟΙΚΙ",,,,,,,,,,,,,,0,0
870,131,1,"ΜΕΤΡΟ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ","ΤΕΛΩΝΕΙΟΥ","3ον χιλ.Παλ.Εθν.Οδου Κατ.Θεσ.","79901",,,,,,,,,,,,,,,0,0
871,132,1,"ΚΑΦΑΝΤΑΡΗΣ ΣΤΕΡΓΙΟΣ",,,"ΕΛΛΑΔΑ","ΘΕΣ/ΚΗΣ","ΘΕΣ/ΚΗ","Κ. ΤΟΥΜΠΑ","ΑΝΩ ΤΖΟΥΜΑΓΙΑΣ 49","917007",,,,,,,,,,,,,,,0,0
872,133,1,"OFFSET GRAPHIC HELLAS",,"Λ.ΓΕΩΡΓΙΑΔΗΣ-Σ.ΓΡΗΓΟΡΙΑΔΗΣ Ο.Ε","ΕΛΛΑΔΑ","ΔΡΑΜΑΣ","ΔΡΑΜΑ","ΒΙ.ΠΕ ΔΡΑΜΑΣ",,"25210","55600-2","55602",,,,,,,,,,,,,0,0
873,134,1,"ΚΟΝΤΑ ΑΕΒΕ",,,"ΕΛΛΑΔΑ","ΑΤΤΙΚΗΣ","ΑΘΗΝΑ","ΑΧΑΡΝΑΙ","28ης Οκτωβρίου     Τα.Κ 136 71","2406990",,"2460694",,,,,,,,,,,,,0,0
874,135,1,"Π.ΠΟΥΝΙΩΤΗΣ Κ.ΣΙΑ Ο.Ε",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ","ΜΑΞΙ",,"77654",,"77654",,,,,,,,,,,,,0,0
875,136,1,"ΦΑΜΑ ΒΟΡΕΙΟΥ ΕΛΛΑΔΟΣ Ε.Π.Ε","ΑΝΤΩΝΗΣ",,"ΕΛΛΑΔΑ","ΘΕΣ/ΚΗΣ","ΘΕΣ/ΚΗ","ΒΙ.ΠΕ  ΣΙΝΔΟΥ",,"569570","2310","569570",,,,,,,,,,,,,0,0
876,137,1,"ΜΑΞΙ ΑΒΕΕ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"1ο χλμ.Π.Ε.Ο.ΚΑΤΕΡ.- ΘΕΣ/ΚΗΣ","23510-31322","37304-5",,"31143",,,,,,,,,,,,0,0
877,138,1,"ΤΟΚΑΣ ΑΘΑΝΑΣΙΟΣ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"ΑΓΙΑΣ ΤΡΙΑΔΟΣ 22   Τα.Κ 60100","45044",,"45044",,,,,,,,,,,,,0,0
878,145,1,"ΚΟΡΟΜΠΙΛΗΣ ΚΩΝ/ΝΟΣ","ΙΔΙΟΣ",,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ","ΚΟΝΤΑΡΙΩΤΙΣΣΑ",,"52092","6944752823",,,,,,,,,,,,,,0,0
879,6,2,"ΑΝΔΡΟΥΤΣΟΥ","ΓΙΑΠΙΤΖΗΣ",,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"ΚΑΤΕΡΙΝΗ","2351036510",,,,,,,,2.0080000000000000e+03,4.0000000000000000e+01,,,,,,0,0
880,7,2,"ΚΑΣΣΑΝΔΡΟΥ","ΓΙΑΠΙΤΖΗΣ",,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"ΚΑΤΕΡΙΝΗ","2351023340",,,,,,,,2.0080000000000000e+03,2.4000000000000000e+01,2.4000000000000000e+01,2.0090000000000000e+03,,,,0,0
883,1003,6,"ΜΑΡΚΟΓΛΟΥ ΣΤΕΛΙΟΣ","ΙΔΙΟΣ",,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"ΕΦΕΣΣΟΣ","2351051998",,,,,,,,,,,,,,,0,0
886,1005,6,"ΓΚΟΛΕΜΑ ΚΥΡΙΑΚΗ","ΓΚΟΛΕΜΑ ΔΗΜΗΤΡΙΟΣ",,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"ΒΡΟΝΤΟΥ","2351055503","55115",,,,,,,,,,,,,,0,0
890,8,2,"ΠΕΡΙΣΤΑΣΗΣ","ΓΙΑΠΙΤΖΗΣ ΙΩΑΝΝΗΣ",,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ","ΔΗΜΟΣ ΠΑΡΑΛΙΑΣ","ΜΑΚΕΔΙΝΙΑΣ 37","23510-7522",,,,,,,,,,,,,,,0,0
893,148,1,"ΙΩΑΝ.  ΚΑΛΛΙΓΑΣ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΑΓ.ΣΠΥΡΙΔΩΝΑΣ",,,"2351055216",,,"2351046112",,,,,,,,,,,,0,0
895,146,1," ΑΛΒΑΝΟΣ ΣΤΕΛΙΟΣ (ΑΛΜΑ)",,,"ΕΛΛΑΔΑ",,,"57200 ΛΑΓΚΑΔΑΣ","1ο χλμ.ΛΑΓΚΑΔΑ ΣΟΧΟΥ","23940-20085",,,,,,,,,,,,,,,0,0
896,139,1,"ΓΙΩΤΣΑΣ Α-ΤΣΙΤΣΙΡΙΓΚΟΥ Ο.Ε.",,,"ΕΛΛΑΔΑ",,,"ΠΙΕΡΙΑΣ","ΑΓ.ΣΠΥΡΙΔΩΝΑΣ","23510-56015",,,"56013",,,,,,,,,,,,0,0
897,147,1,"ΑΦΟΙ ΚΩΤΣΙΟΠΟΥΛΟΙ Α.Ε. ΙΟΝ",,,"ΕΛΛΑΔΑ",,"ΑΘΗΝΑ","ΝΈΟ ΦΑΛΗΡΟ","ΕΛ.ΒΕΝΙΖΕΛΟΥ 69","2104814971","2310-472939",,,,,,,,,,,,,,0,0
898,140,1,"ΚΥΛΙΝΔΡΟΜΥΛΟΙ ΧΑΛΚΙΔΙΚΗΣ Α.Ε",,,"ΕΛΛΑΔΑ","ΧΑΛΚΙΔΙΚΗΣ","ΕΛΑΙΟΧΩΡΙΑ",,,"23730-71174",,,"2373071066",,,,,,,,,,,,0,0
899,141,1,"ΣΟΥΠΕΡ ΜΑΡΚΕΤ",,,"ΕΛΛΑΔΑ",,,,,,,,,,,,,,,,,,,,0,0
900,142,1,"ΣΠΥΡΟΣ ΤΟΥΝΤΟΠΟΥΛΟΣ κ ΣΙΑ ΟΕ",,,"ΕΛΛΑΔΑ",,"ΑΘΗΝΑ","14572 ΔΡΟΣΙΑ ΑΤΤΙΚΗΣ","ΑΘΗΝΩΝ 56","2102310084","694443390",,"2102384321",,,,,,,,,,,,0,0
901,143,1,"ΥΦΑΝΤΗΣ",,,"ΕΛΛΑΔΑ",,,,,,,,,,,,,,,,,,,,0,0
902,144,1,"ΩΜΕΓΑ FOODS Α.Ε.",,,"ΕΛΛΑΔΑ","ΘΕΣ/ΝΙΚΗΣ","ΘΕΣΣΑΛΟΝΙΚΗ","57009 ΚΑΛΟΧΩΡΙ","ΚΕΡΚΥΡΑΣ 4","2310-753990/1","751302","751680",,,,,,,,,,,,,0,0
903,152,1,"ΦΙΚΑ ΑΡΙΣΤΟΜΕΝΗ & ΣΙΑ Ο.Ε",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΙΚΗΣ","ΘΕΣΣΑΛΟΝΙΚΗ","ΦΙΞ","26ΗΣ ΟΚΤΩΒΡΙΟΥ 72-ΛΗΜΝΟΥ 2","2310-567490",,,"2310-567325",,,,,,,,,,,,0,0
905,1043,6,"ΓΚΙΜΠΗ ΜΑΡΙΑ",,,"ΕΛΛΑΔΑ",,,"ΚΩΝΤΑΡΙΩΤΙΣΣΑ",,"51995","51021",,,,,,,,,,,,,,0,0
906,1042,6,"ΠΑΠΑΔΟΠΟΥΛΟΥ ΕΥΑΝΘΙΑ","ΠΑΠΑΔΟΠΟΥΛΟΥ ΕΥΑΝΘΙΑ",,"ΕΛΛΑΔΑ",,,"ΚΩΝΤΑΡΙΩΤΙΣΣΑ",,"51716",,,,,,,,,,,,,,,0,0
907,149,1,"ΕΥΑΓΓΕΛΟΥ ΦΑΝΗ","ΘΑΝΑΣΗΣ ΕΥΑΓΓΕΛΟΥ",,"ΕΛΛΑΔΑ",,,,,"53472","53628",,,,,,,,,,,,,,0,0
908,150,1,"ΠΑΠΑΔΟΠΟΥΛΟΣ Κ. ΕΠΕ",,,"ΕΛΛΑΔΑ",,"ΒΕΡΟΙΑ",,"2ο χλμ.ΒΕΡΟΙΑΣ ΑΓ.ΒΑΡΒΑΡΑΣ",,,,"2331024146",,,,,,,,,,,,0,0
909,1046,6,"ΚΑΦΕ ΠΙΤΣΑ","ΦΟΛΙΟΣ Γ. ΑΝΑΣΤΑΣΙΟΣ",,"ΕΛΛΑΔΑ",,,"ΠΙΕΡΙΑ","ΚΑΡΙΤΣΑ","2351053002",,,,,,,,,,,,,,,0,0
910,103,1,"ΧΡΥΣΟΣΤΟΜΟΥ Α.Ε.",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"ΤΕΡΜΑ Α.ΜΙΑΟΥΛΗ","23510-37367","22929","78144","34986",,,,,,,,,,,,0,0
911,153,1,"ΜΥΛΟΙ ΑΦΩΝ ΜΑΡΡΑ Α.Ε.",,,"ΕΛΛΑΔΑ","ΚΟΡΙΝΘΟΥ","ΚΟΡΙΝΘΟΣ","20100","ΠΑΤΡΩΝ 90 ΧΛΜ.","2310783647",,,,,,,,,,,,,,,0,0
912,1,2,"ΚΕΝΤΡΙΚΟ",,,"ΕΛΛΑΔΑ","Πιερίας","Ν.Εφεσσος",,,,,,,,,,,,,,,,,,0,0
913,1001,6,"ΠΑΠΑΕΥΑΓΓΕΛΟΥ ΑΣΤΕΡΙΟΣ",,,"ΕΛΛΑΔΑ",,"Ν.ΕΦΕΣΣΟΣ",,,"51347",,,"51347",,,,,,,,,,,,0,0
914,1002,6,"ΚΑΡΑΝΙΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ",,,"ΕΛΛΑΔΑ",,"Ν.ΕΦΕΣΣΟΣ",,,,,,,,,,,,,,,,,,0,0
916,154,1,"ΜΥΛΟΙ ΘΡΑΚΗΣ",,,"ΕΛΛΑΔΑ","ΕΒΡΟΥ","ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ",,,,,,,,,,,,,,,,,,0,0
917,155,1,"ΣΤΕΡΓΙΟΥ ΣΤΑΥΡΟΣ Α.Ε",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΙΝΙΚΗΣ","ΘΕΣΣΑΛΟΝΙΚΗ","ΠΥΛΑΙΑ","ΙΩΑΝΝΙΝΩΝ","2310473341",,,"2310473351",,,,,,,,,,,,0,0
918,156,1,"ΧΑΤΖΗΓΕΩΡΓΙΟΥ Α.Β.Ε.Ε.",,,"ΕΛΛΑΔΑ","ΔΡΑΜΑΣ","ΔΡΑΜΑ","ΑΔΡΙΑΝΗ ΔΡΑΜΑΣ","7ον χιλ. Δραμας-Ξανθης 66100 Αδριανη","2521082082","2521082282",,"2521082110",,,,,,,,,,,,0,0
919,157,1,"ΜΑΡΓΑΡΙΤΗΣ ΑΘΑΝΑΣΙΟΣ",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΙΝΙΚΗΣ","ΘΕΣΣΑΛΟΝΙΚΗ","ΒΑΣΙΛΙΚΑ","Τα.Κ.57006 ΒΑΣΙΛΙΚΑ-ΑΓ.ΑΝΤΩΝΙΟΣ","2396041812",,,,,,,,,,,,,,,0,0
920,158,1,"ΤΣΑΠΡΑΝΗΣ ΕΥΘΥΜΙΟΣ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"ΝΙΚ.ΠΛΑΣΤΗΡΑ & ΜΟΝΕΜΒΑΣΙΑΣ","23510-39007",,,,,,,,,,,,,,,0,0
921,159,1,"ΚΟΥΤΣΟΓΙΑΝΝΗΣ ΧΡΗΣΤΟΣ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"Δ.ΚΥΠΡΙΟΥ 9","23510-20787",,,,,,,,,,,,,,,0,0
922,160,1,"ΚΡΕΤΑ ΦΑΡΜ ΑΒΕΕ",,,"ΕΛΛΑΔΑ","ΡΕΘΥΜΝΟΥ","ΠΡΙΝΟΣ","ΜΥΛΟΠΟΤΑΜΟΥ",,"2310-784880",,,,,,,,,,,,,,,0,0
923,161,1,"PURATOS ΕΛΛΑΣ",,,"ΕΛΛΑΔΑ","ΑΤΤΙΚΗΣ","ΑΘΗΝΑ","ΘΕΣ/ΝΙΚΗ ΙΩΝΙΑ ΠΡΟΕΚ.ΑΡΙΣΤΟΤΕΛΟΥΣ","ΑΛΙΚΑΡΝΑΣΣΟΥ 49","2105239157-158-","2310784200",,,,,,,,,,,,,,0,0
924,9,2,"ΜΑΡΤΙΟΥ",,,"ΕΛΛΑΔΑ",,,,,,,,,,,,,,,,,,,,0,0
925,162,1,"METRO",,,"ΕΛΛΑΔΑ",,,"ΚΑΤΕΡΙΝΗ","3 ΟΧΛΜ.ΠΕΟ ΚΑΤΕΡΙΝΗΣ ΘΕΣ/ΝΙΚΗΣ",,,"2351079901",,,,,,,,,,,,,0,0
926,163,1,"ΤΟΥΜΠΟΥΡΛΕΚΑ ΑΒΕΕ",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΙΚΗΣ","ΘΕΣΣΑΛΟΝΙΚΗ",,"17ης  ΝΟΕΜΒΡΗ 81","2310945858",,,"2310953843",,,,,,,,,,,,0,0
927,165,1,"ΣΚΟΥΡΓΙΑΣ ΑΘΑΝΑΣΙΟΣ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ",,"25ΗΣ ΜΑΡΤΙΟΥ 30","29484",,,,,,,,,,,,,,,0,0
928,166,1,"ΑΝΘΗΣ Γ.ΕΛΕΥΘΕΡΙΟΣ",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΙΚΗΣ","ΚΑΛΟΧΩΡΙ",,,"2310-755593",,,,,,,,,,,,,,,0,0
929,167,1,"ΤΖΗΜΑΣ Δ.ΑΘΑΝΑΣΙΟΣ",,,"ΕΛΛΑΔΑ","ΠΙΕΡΙΑΣ",,,"ΔΙΑΣ/ΣΗ ΚΟΝΤΑΡΙΩΤΙΣΣΑΣ ΚΑΡΙΤΣΑΣ","2351052223",,,,,,,,,,,,,,,0,0
931,169,1,"ΤΙΤΗΣ","ΤΙΤΗΣ","ΠΕΤΡΟΣ","ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΙΚΗΣ",,"ΒΙΠΕ ΘΕΡΜΗΣ",,"2310-466966",,,,,,,,,,,,,,,0,0
932,170,1,"GABRIEL ΑΒΕΕ",,,"ΕΛΛΑΔΑ","ΧΑΛΚΙΔΙΚΗΣ",,"ΛΑΚΩΜΜΑ",,"2399020183",,,,,,,,,,,,,,,0,0
933,171,1,"ΑΦΟΙ ΠΟΙΚΙΛΙΔΗ Ο.Ε.",,,"ΕΛΛΑΔΑ",,"ΚΑΤΕΡΙΝΗ",,"2ο χλμ.ΑΦΟΙ ΠΟΙΚΙΛΙΔΗ ΟΕ","23510-39766",,,,,,,,,,,,,,,0,0
934,172,1,"ΓΕΩΡΓΙΑΔΗΣ ΦΩΤΙΟΣ",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΙΚΗΣ",,"ΒΙΠΑ ΩΡΑΙΟΚΑΣΤΡΟΥ","ΟΔΟΣ ΑΕΡΟΔΡΟΜΙΟΥ","2310-684200",,,,,,,,,,,,,,,0,0
935,173,1,"ΒΙΟΤΡΕΚ","ΙΑΣΩΝΑΣ",,"ΕΛΛΑΔΑ","ΑΤΤΙΚΗΣ","ΑΘΗΝΑ",,,"2106655060",,,,,,,,,,,,,,,0,0
936,174,1,"ΜΠΟΣΚΟΣ ΧΡ.ΘΕΟΔΩΡΟΣ",,,"ΕΛΛΑΔΑ","ΘΕΣΣΑΛΟΝΙΚΗΣ","Ν.ΜΑΛΓΑΡΑ","ΔΗΜΟΣ ΑΞΙΟΥ",,"23910-41666",,,"41442",,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,0,0
937,11,2,"ΣΚΡΑ",,,"ΕΛΛΑΔΑ",,,,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,0,0
938,175,1,"ΚΑΓΙΑ ΑΕ",,,"ΕΛΛΑΔΑ",,,,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,0,0
939,176,1,"NEOXHMIKH ABEE",,,"ΕΛΛΑΔΑ",,"ΑΘΗΝΑ","Π.ΦΑΛΗΡΟ","ΠΕΝΤΕΛΗΣ 34",,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,0,0
940,177,1,"ΑΣΤΡΟΝ ΧΗΜΙΚΑ ΑΕ",,,"ΕΛΛΑΔΑ",,"ΑΘΗΝΑ",,,,,,,,"Μη εγκεκριμένος",,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,0,0
